a	(-AH_)
abnormalities	(-AE_B)(N-AO_R)(M-AE_)(L-AH_)(T-IY_Z)
abnormality	(-AE_B)(N-AO_R)(M-AE_)(L-AH_)(T-IY_)
abnormally	(-AE_B)(N-AO_R)(M-AH_)(L-IY_)
abo	(-AA_)(B-OW_)
aboard	(-AH_)(B-AO_RD)
abode	(-AH_)(B-OW_D)
abolish	(-AH_)(B-AA_)(L-IH_SH)
abolished	(-AH_)(B-AA_)(L-IH_SHT)
abolishes	(-AH_)(B-AA_)(L-IH_)(SH-IH_Z)
abolishing	(-AH_)(B-AA_)(L-IH_)(SH-IH_NG)
abolition	(-AE_)(B-AH_)(L-IH_)(SH-AH_N)
abolitionism	(-AE_)(B-AH_)(L-IH_)(SH-AH_)(N-IH_)(Z-AH_M)
abolitionist	(-AE_)(B-AH_)(L-IH_)(SH-AH_)(N-AH_ST)
abolitionists	(-AE_)(B-AH_)(L-IH_)(SH-AH_)(N-AH_STS)
abominable	(-AH_)(B-AA_)(M-AH_)(N-AH_)(B-AH_L)
abomination	(-AH_)(B-AA_)(M-AH_)(N-EY_)(SH-AH_N)
abood	(-AH_)(B-UW_D)
aboodi	(-AH_)(B-UW_)(D-IY_)
aboriginal	(-AE_)(B-ER_)(-IH_)(JH-AH_)(N-AH_L)
aborigine	(-AE_)(B-ER_)(-IH_)(JH-AH_)(N-IY_)
aborigines	(-AE_)(B-ER_)(-IH_)(JH-AH_)(N-IY_Z)
aborn	(-AH_)(B-AO_RN)
abort	(-AH_)(B-AO_RT)
aborted	(-AH_)(B-AO_R)(T-IH_D)
abortifacient	(-AH_)(B-AO_R)(T-AH_)(F-EY_)(SH-AH_NT)
abortifacients	(-AH_)(B-AO_R)(T-AH_)(F-EY_)(SH-AH_NTS)
aborting	(-AH_)(B-AO_R)(T-IH_NG)
abortion	(-AH_)(B-AO_R)(SH-AH_N)
abortionist	(-AH_)(B-AO_R)(SH-AH_)(N-IH_ST)
abortionists	(-AH_)(B-AO_R)(SH-AH_)(N-IH_STS)
abortions	(-AH_)(B-AO_R)(SH-AH_NZ)
abortive	(-AH_)(B-AO_R)(T-IH_V)
abott	(-AH_)(B-AA_T)
abou	(-AH_)(B-UW_)
aboud	(-AA_)(B-UW_D)
abouhalima	(-AA_)(B-UW_)(HH-AA_)(L-IY_)(M-AH_)
abound	(-AH_)(B-AW_ND)
abounded	(-AH_)(B-AW_N)(D-IH_D)
abounding	(-AH_)(B-AW_N)(D-IH_NG)
abounds	(-AH_)(B-AW_NDZ)
about	(-AH_)(B-AW_T)
above	(-AH_)(B-AH_V)
aboveboard	(-AH_)(B-AH_V)(B-AO_RD)
abplanalp	(-AE_B)(PL-AH_)(N-AE_LP)
abra	(-AA_)(BR-AH_)
abracadabra	(-AE_)(BR-AH_)(K-AH_)(D-AE_)(BR-AH_)
abraham	(-EY_)(BR-AH_)(HH-AE_M)
abrahamian	(-AE_)(BR-AH_)(HH-EY_)(M-IY_)(-AH_N)
abrahams	(-EY_)(BR-AH_)(HH-AE_MZ)
abrahamsen	(-AE_)(BR-AH_)(HH-AE_M)(S-AH_N)
abrahamson	(-AH_)(BR-AE_)(HH-AH_M)(S-AH_N)
abram	(-AH_)(BR-AE_M)
abramczyk	(-AA_)(BR-AH_M)(CH-IH_K)
abramo	(-AA_)(BR-AA_)(M-OW_)
abramovitz	(-AH_)(BR-AA_)(M-AH_)(V-IH_TS)
abramowicz	(-AH_)(BR-AA_)(M-AH_)(V-IH_CH)
abramowitz	(-AH_)(BR-AA_)(M-AH_)(W-IH_TS)
abrams	(-EY_)(BR-AH_MZ)
abramson	(-EY_)(BR-AH_M)(S-AH_N)
abrasion	(-AH_)(BR-EY_)(ZH-AH_N)
abrasions	(-AH_)(BR-EY_)(ZH-AH_NZ)
abrasive	(-AH_)(BR-EY_)(S-IH_V)
abrasives	(-AH_)(BR-EY_)(S-IH_VZ)
abreast	(-AH_)(BR-EH_ST)
abrego	(-AA_)(BR-EH_)(G-OW_)
abreu	(-AH_)(BR-UW_)
abridge	(-AH_)(BR-IH_JH)
abridged	(-AH_)(BR-IH_JHD)
abril	(-AH_)(BR-IH_L)
abroad	(-AH_)(BR-AO_D)
abrogate	(-AE_)(BR-AH_)(G-EY_T)
abrogated	(-AE_)(BR-AH_)(G-EY_)(T-IH_D)
abrogating	(-AE_)(BR-AH_)(G-EY_)(T-IH_NG)
abrogation	(-AE_)(BR-AH_)(G-EY_)(SH-AH_N)
abron	(-AH_)(BR-AA_N)
abrupt	(-AH_)(BR-AH_PT)
abruptly	(-AH_)(BR-AH_PT)(L-IY_)
abruptness	(-AH_)(BR-AH_PT)(N-AH_S)
abrutyn	(-EY_)(BR-UW_)(T-IH_N)
abruzzese	(-AA_)(BR-UW_T)(S-EY_)(Z-IY_)
abruzzo	(-AA_)(BR-UW_)(Z-OW_)
abs	(-EY_)(B-IY_)(-EH_S)
absalom	(-AE_B)(S-AH_)(L-AH_M)
abscam	(-AE_B)(SK-AE_M)
abscess	(-AE_B)(S-EH_S)
absence	(-AE_B)(S-AH_NS)
absences	(-AE_B)(S-AH_N)(S-IH_Z)
absent	(-AE_B)(S-AH_NT)
absentee	(-AE_B)(S-AH_N)(T-IY_)
absenteeism	(-AE_B)(S-AH_N)(T-IY_)(-IH_)(Z-AH_M)
absentees	(-AE_B)(S-AH_N)(T-IY_Z)
absentia	(-AE_B)(S-EH_N)(SH-AH_)
absher	(-AE_B)(SH-ER_)
abshier	(-AE_B)(SH-IY_)(-ER_)
abshire	(-AE_B)(SH-AY_R)
abso	(-AE_B)(S-OW_)
absolom	(-AE_B)(S-AH_)(L-AH_M)
absolut	(-AE_B)(S-AH_)(L-UW_T)
absolute	(-AE_B)(S-AH_)(L-UW_T)
absolutely	(-AE_B)(S-AH_)(L-UW_T)(L-IY_)
absoluteness	(-AE_B)(S-AH_)(L-UW_T)(N-AH_S)
absolutes	(-AE_B)(S-AH_)(L-UW_TS)
absolution	(-AE_B)(S-AH_)(L-UW_)(SH-AH_N)
absolutism	(-AE_B)(S-AH_)(L-UW_)(T-IH_)(Z-AH_M)
absolutist	(-AE_B)(S-IH_)(L-UW_)(T-IH_ST)
absolve	(-AH_B)(Z-AA_LV)
absolved	(-AH_B)(Z-AA_LVD)
absolves	(-AH_B)(Z-AA_LVZ)
absolving	(-AH_B)(Z-AA_L)(V-IH_NG)
absorb	(-AH_B)(Z-AO_RB)
absorbed	(-AH_B)(Z-AO_RBD)
absorbency	(-AH_B)(Z-AO_R)(B-AH_N)(S-IY_)
absorbent	(-AH_B)(Z-AO_R)(B-AH_NT)
absorber	(-AH_B)(Z-AO_R)(B-ER_)
absorbers	(-AH_B)(Z-AO_R)(B-ER_Z)
absorbing	(-AH_B)(Z-AO_R)(B-IH_NG)
absorbs	(-AH_B)(Z-AO_RBZ)
absorption	(-AH_B)(Z-AO_RP)(SH-AH_N)
abstain	(-AH_B)(ST-EY_N)
abstained	(-AH_B)(ST-EY_ND)
abstaining	(-AH_B)(ST-EY_)(N-IH_NG)
abstention	(-AH_B)(ST-EH_N)(CH-AH_N)
abstentions	(-AH_B)(ST-EH_N)(CH-AH_NZ)
abstinence	(-AE_B)(ST-AH_)(N-AH_NS)
abstinent	(-AE_B)(ST-AH_)(N-AH_NT)
abston	(-AE_B)(ST-AH_N)
abstract	(-AE_B)(STR-AE_KT)
abstracted	(-AE_B)(STR-AE_K)(T-IH_D)
abstraction	(-AE_B)(STR-AE_K)(SH-AH_N)
abstractions	(-AE_B)(STR-AE_K)(SH-AH_NZ)
abstracts	(-AE_B)(STR-AE_KTS)
abstruse	(-AH_B)(STR-UW_S)
absurd	(-AH_B)(S-ER_D)
absurdist	(-AH_B)(S-ER_)(D-IH_ST)
absurdities	(-AH_B)(S-ER_)(D-AH_)(T-IY_Z)
absurdity	(-AH_B)(S-ER_)(D-AH_)(T-IY_)
absurdly	(-AH_B)(S-ER_D)(L-IY_)
abt	(-AE_BT)
abts	(-AE_BTS)
abu	(-AE_)(B-UW_)
abudrahm	(-AH_)(B-AH_)(DR-AH_M)
abuladze	(-AE_)(BY-UW_)(L-AE_D)(Z-IY_)
abundance	(-AH_)(B-AH_N)(D-AH_NS)
abundant	(-AH_)(B-AH_N)(D-AH_NT)
abundantly	(-AH_)(B-AH_N)(D-AH_NT)(L-IY_)
aburto	(-AH_)(B-UH_R)(T-OW_)
abuse	(-AH_)(BY-UW_S)
abused	(-AH_)(BY-UW_ZD)
abuser	(-AH_)(BY-UW_)(Z-ER_)
abusers	(-AH_)(BY-UW_)(Z-ER_Z)
abuses	(-AH_)(BY-UW_)(S-IH_Z)
abusing	(-AH_)(BY-UW_)(Z-IH_NG)
abusive	(-AH_)(BY-UW_)(S-IH_V)
abut	(-AH_)(B-AH_T)
abuts	(-AH_)(B-AH_TS)
abutted	(-AH_)(B-AH_)(T-AH_D)
abutting	(-AH_)(B-AH_)(T-IH_NG)
abuzz	(-AH_)(B-AH_Z)
abysmal	(-AH_)(B-IH_Z)(M-AH_L)
abysmally	(-AH_)(B-IH_Z)(M-AH_)(L-IY_)
abyss	(-AH_)(B-IH_S)
abzug	(-AE_B)(Z-AH_G)
ac	(-EY_)(S-IY_)
aca	(-AE_)(K-AH_)
acacia	(-AH_)(K-EY_)(SH-AH_)
academe	(-AE_)(K-AH_)(D-IY_M)
academia	(-AE_)(K-AH_)(D-IY_)(M-IY_)(-AH_)
academic	(-AE_)(K-AH_)(D-EH_)(M-IH_K)
academically	(-AE_)(K-AH_)(D-EH_)(M-IH_)(KL-IY_)
academician	(-AE_)(K-AH_)(D-AH_)(M-IH_)(SH-AH_N)
academicians	(-AE_)(K-AH_)(D-AH_)(M-IH_)(SH-AH_NZ)
academics	(-AE_)(K-AH_)(D-EH_)(M-IH_KS)
academies	(-AH_)(K-AE_)(D-AH_)(M-IY_Z)
academy	(-AH_)(K-AE_)(D-AH_)(M-IY_)
acadia	(-AH_)(K-EY_)(D-IY_)(-AH_)
acampora	(-AH_)(K-AE_M)(P-ER_)(-AH_)
acantha	(-AA_)(K-AA_N)(DH-AH_)
acapulco	(-AE_)(K-AH_)(P-UH_L)(K-OW_)
accardi	(-AA_)(K-AA_R)(D-IY_)
accardo	(-AA_)(K-AA_R)(D-OW_)
accede	(-AE_K)(S-IY_D)
acceded	(-AE_K)(S-IY_)(D-IH_D)
accedes	(-AE_K)(S-IY_DZ)
acceding	(-AE_K)(S-IY_)(D-IH_NG)
accel	(-AH_K)(S-EH_L)
accelerant	(-AE_K)(S-EH_)(L-ER_)(-AH_NT)
accelerants	(-AE_K)(S-EH_)(L-ER_)(-AH_NTS)
accelerate	(-AE_K)(S-EH_)(L-ER_)(-EY_T)
accelerated	(-AE_K)(S-EH_)(L-ER_)(-EY_)(T-IH_D)
accelerates	(-AE_K)(S-EH_)(L-ER_)(-EY_TS)
accelerating	(-AE_K)(S-EH_)(L-ER_)(-EY_)(T-IH_NG)
acceleration	(-AE_K)(S-EH_)(L-ER_)(-EY_)(SH-AH_N)
accelerator	(-AE_K)(S-EH_)(L-ER_)(-EY_)(T-ER_)
accelerometer	(-AE_K)(S-EH_)(L-ER_)(-AA_)(M-AH_)(T-ER_)
accelerometers	(-AE_K)(S-EH_)(L-ER_)(-AA_)(M-AH_)(T-ER_Z)
accent	(-AH_K)(S-EH_NT)
accented	(-AE_K)(S-EH_N)(T-IH_D)
accenting	(-AE_K)(S-EH_N)(T-IH_NG)
accents	(-AE_K)(S-EH_NTS)
accentuate	(-AE_K)(S-EH_N)(CH-UW_)(-EY_T)
accentuated	(-AE_K)(S-EH_N)(CH-AH_)(W-EY_)(T-IH_D)
accentuates	(-AE_K)(S-EH_N)(CH-UW_)(-EY_TS)
accentuating	(-AE_K)(S-EH_N)(CH-AH_)(W-EY_)(T-IH_NG)
accept	(-AE_K)(S-EH_PT)
acceptability	(-AH_K)(S-EH_P)(T-AH_)(B-IH_)(L-AH_)(T-IY_)
acceptable	(-AE_K)(S-EH_P)(T-AH_)(B-AH_L)
acceptance	(-AE_K)(S-EH_P)(T-AH_NS)
acceptances	(-AE_K)(S-EH_P)(T-AH_N)(S-IH_Z)
accepted	(-AE_K)(S-EH_P)(T-IH_D)
accepting	(-AE_K)(S-EH_P)(T-IH_NG)
accepts	(-AE_K)(S-EH_PTS)
access	(-AE_K)(S-EH_S)
accessed	(-AE_K)(S-EH_ST)
accessibility	(-AE_K)(S-EH_)(S-AH_)(B-IH_)(L-IH_)(T-IY_)
accessible	(-AE_K)(S-EH_)(S-AH_)(B-AH_L)
accessing	(-AE_K)(S-EH_)(S-IH_NG)
accession	(-AH_K)(S-EH_)(SH-AH_N)
accessories	(-AE_K)(S-EH_)(S-ER_)(-IY_Z)
accessorize	(-AE_K)(S-EH_)(S-ER_)(-AY_Z)
accessorized	(-AE_K)(S-EH_)(S-ER_)(-AY_ZD)
accessory	(-AE_K)(S-EH_)(S-ER_)(-IY_)
accetta	(-AA_)(CH-EH_)(T-AH_)
accident	(-AE_K)(S-AH_)(D-AH_NT)
accidental	(-AE_K)(S-AH_)(D-EH_N)(T-AH_L)
accidentally	(-AE_K)(S-AH_)(D-EH_N)(T-AH_)(L-IY_)
accidently	(-AE_K)(S-AH_)(D-AH_NT)(L-IY_)
accidents	(-AE_K)(S-AH_)(D-AH_NTS)
accion	(-AE_)(CH-IY_)(-AH_N)
accival	(-AE_)(S-IH_)(V-AA_L)
acclaim	(-AH_)(KL-EY_M)
acclaimed	(-AH_)(KL-EY_MD)
acclaiming	(-AH_)(KL-EY_)(M-IH_NG)
acclimate	(-AE_)(KL-AH_)(M-EY_T)
acclimated	(-AE_)(KL-AH_)(M-EY_)(T-IH_D)
acclimation	(-AE_)(KL-AH_)(M-EY_)(SH-AH_N)
acco	(-AE_)(K-OW_)
accola	(-AA_)(K-OW_)(L-AH_)
accolade	(-AE_)(K-AH_)(L-EY_D)
accolades	(-AE_)(K-AH_)(L-EY_DZ)
accomando	(-AA_)(K-OW_)(M-AA_N)(D-OW_)
accommodate	(-AH_)(K-AA_)(M-AH_)(D-EY_T)
accommodated	(-AH_)(K-AA_)(M-AH_)(D-EY_)(T-AH_D)
accommodates	(-AH_)(K-AA_)(M-AH_)(D-EY_TS)
accommodating	(-AH_)(K-AA_)(M-AH_)(D-EY_)(T-IH_NG)
accommodation	(-AH_)(K-AA_)(M-AH_)(D-EY_)(SH-AH_N)
accommodations	(-AH_)(K-AA_)(M-AH_)(D-EY_)(SH-AH_NZ)
accommodative	(-AH_)(K-AA_)(M-AH_)(D-EY_)(T-IH_V)
accompanied	(-AH_)(K-AH_M)(P-AH_)(N-IY_D)
accompanies	(-AH_)(K-AH_M)(P-AH_)(N-IY_Z)
accompaniment	(-AH_)(K-AH_MP)(N-IH_)(M-AH_NT)
accompaniments	(-AH_)(K-AH_MP)(N-IH_)(M-AH_NTS)
accompanist	(-AH_)(K-AH_M)(P-AH_)(N-AH_ST)
accompany	(-AH_)(K-AH_M)(P-AH_)(N-IY_)
accompanying	(-AH_)(K-AH_M)(P-AH_)(N-IY_)(-IH_NG)
accompli	(-AA_)(K-AA_M)(PL-IY_)
accomplice	(-AH_)(K-AA_M)(PL-AH_S)
accomplices	(-AH_)(K-AA_M)(PL-AH_)(S-AH_Z)
accomplish	(-AH_)(K-AA_M)(PL-IH_SH)
accomplished	(-AH_)(K-AA_M)(PL-IH_SHT)
accomplishes	(-AH_)(K-AA_M)(PL-IH_)(SH-IH_Z)
accomplishing	(-AH_)(K-AA_M)(PL-IH_)(SH-IH_NG)
accomplishment	(-AH_)(K-AA_M)(PL-IH_SH)(M-AH_NT)
accomplishments	(-AH_)(K-AA_M)(PL-IH_SH)(M-AH_NTS)
accor	(-AE_)(K-AO_R)
accord	(-AH_)(K-AO_RD)
accordance	(-AH_)(K-AO_R)(D-AH_NS)
accorded	(-AH_)(K-AO_R)(D-IH_D)
according	(-AH_)(K-AO_R)(D-IH_NG)
accordingly	(-AH_)(K-AO_R)(D-IH_N)(GL-IY_)
accordion	(-AH_)(K-AO_R)(D-IY_)(-AH_N)
accordions	(-AH_)(K-AO_R)(D-IY_)(-AH_NZ)
accords	(-AH_)(K-AO_RDZ)
accost	(-AH_)(K-AO_ST)
accosted	(-AH_)(K-AA_)(ST-AH_D)
accosting	(-AH_)(K-AA_)(ST-IH_NG)
account	(-AH_)(K-AW_NT)
accountability	(-AH_)(K-AW_N)(T-AH_)(B-IH_)(L-IH_)(T-IY_)
accountable	(-AH_)(K-AW_N)(T-AH_)(B-AH_L)
accountancy	(-AH_)(K-AW_N)(T-AH_N)(S-IY_)
accountant	(-AH_)(K-AW_N)(T-AH_NT)
accountants	(-AH_)(K-AW_N)(T-AH_NTS)
accounted	(-AH_)(K-AW_N)(T-AH_D)
accountemp	(-AH_)(K-AW_N)(T-EH_MP)
accountemps	(-AH_)(K-AW_N)(T-EH_MPS)
accounting	(-AH_)(K-AW_N)(T-IH_NG)
accounts	(-AH_)(K-AW_NTS)
accouterment	(-AH_)(K-UW_)(T-ER_)(M-AH_NT)
accouterments	(-AH_)(K-UW_)(T-ER_)(M-AH_NTS)
accredit	(-AH_)(KR-EH_)(D-AH_T)
accreditation	(-AH_)(KR-EH_)(D-AH_)(T-EY_)(SH-AH_N)
accreditations	(-AH_)(KR-EH_)(D-AH_)(D-EY_)(SH-AH_NZ)
accredited	(-AH_)(KR-EH_)(D-IH_)(T-IH_D)
accrediting	(-AH_)(KR-EH_)(D-AH_)(T-IH_NG)
accretion	(-AH_)(KR-IY_)(SH-AH_N)
accrual	(-AH_)(KR-UW_)(-AH_L)
accruals	(-AH_)(KR-UW_)(-AH_LZ)
accrue	(-AH_)(KR-UW_)
accrued	(-AH_)(KR-UW_D)
accrues	(-AH_)(KR-UW_Z)
accruing	(-AH_)(KR-UW_)(-IH_NG)
accumulate	(-AH_)(KY-UW_)(MY-AH_)(L-EY_T)
accumulated	(-AH_)(KY-UW_)(MY-AH_)(L-EY_)(T-IH_D)
accumulates	(-AH_)(KY-UW_)(MY-AH_)(L-EY_TS)
accumulating	(-AH_)(KY-UW_)(MY-AH_)(L-EY_)(T-IH_NG)
accumulation	(-AH_)(KY-UW_)(MY-AH_)(L-EY_)(SH-AH_N)
accumulations	(-AH_)(KY-UW_)(MY-AH_)(L-EY_)(SH-AH_NZ)
accumulative	(-AH_)(KY-UW_)(MY-AH_)(L-EY_)(T-IH_V)
accumulatively	(-AH_)(KY-UW_)(MY-AH_)(L-EY_)(T-IH_V)(L-IY_)
accumulator	(-AH_)(KY-UW_)(MY-AH_)(L-EY_)(T-ER_)
accumulators	(-AH_)(KY-UW_)(MY-AH_)(L-EY_)(T-ER_Z)
accuracies	(-AE_)(KY-ER_)(-AH_)(S-IY_Z)
accuracy	(-AE_)(KY-ER_)(-AH_)(S-IY_)
accurate	(-AE_)(KY-ER_)(-AH_T)
accurately	(-AE_)(KY-ER_)(-AH_T)(L-IY_)
