a	(-AH0_)
abdnor	(-AE1_BD)(N-ER0_)
abdo	(-AE1_B)(D-OW0_W)
abdollah	(-AE2_B)(D-AA1_)(L-AH0_)
abdomen	(-AE0_B)(D-OW1_W)(M-AH0_N)
abdominal	(-AE0_B)(D-AA1_)(M-AH0_)(N-AH0_L)
abduct	(-AE0_B)(D-AH1_K T)
abducted	(-AE0_B)(D-AH1_K)(T-IH0_D)
abductee	(-AE0_B)(D-AH2_K)(T-IY1_Y)
abductees	(-AE0_B)(D-AH2_K)(T-IY1_Y Z)
abducting	(-AE0_B)(D-AH1_K)(T-IH0_NX)
abduction	(-AE0_B)(D-AH1_K)(SH-AH0_N)
abductions	(-AE0_B)(D-AH1_K)(SH-AH0_N Z)
abductor	(-AE0_B)(D-AH1_K)(T-ER0_)
abductors	(-AE0_B)(D-AH1_K)(T-ER0_Z)
abducts	(-AE0_B)(D-AH1_K T S)
abdul	(-AE0_B)(D-UW1_W L)
abdulaziz	(-AE0_B)(D-UW2_W)(L-AH0_)(Z-IY1_Y Z)
abdulla	(-AA0_B)(D-UW1_W)(L-AH0_)
abdullah	(-AE2_B)(D-AH1_)(L-AH0_)
abe	(-EY1_Y B)
abed	(-AH0_)(B-EH1_D)
abedi	(-AH0_)(B-EH1_)(D-IY0_Y)
abee	(-AH0_)(B-IY1_Y)
abel	(-EY1_Y)(B-AH0_L)
abela	(-AA0_)(B-EH1_)(L-AH0_)
abelard	(-AE1_)(B-IH0_)(L-ER0_D)
abele	(-AH0_)(B-IY1_L)
abeles	(-AH0_)(B-IY1_L Z)
abell	(-EY1_Y)(B-AH0_L)
abella	(-AH0_)(B-EH1_)(L-AH0_)
abeln	(-AE1_)(B-IH0_L N)
abelow	(-AE1_)(B-AH0_)(L-OW0_W)
abels	(-EY1_Y)(B-AH0_L Z)
abelson	(-AE1_)(B-IH0_L)(S-AH0_N)
abend	(-AE1_)(B-EH0_N D)
abendroth	(-AE1_)(B-IH0_N)(D R-AO0_TH)
aber	(-EY1_Y)(B-ER0_)
abercrombie	(-AE2_)(B-ER0_)(K R-AA1_M)(B-IY0_Y)
aberdeen	(-AE1_)(B-ER0_)(D-IY2_Y N)
aberford	(-EY1_Y)(B-ER0_)(F-ER0_D)
aberg	(-AE1_)(B-ER0_G)
aberle	(-AE1_)(B-ER0_)(-AH0_L)
abermin	(-AE1_)(B-ER0_)(M-IH0_N)
abernathy	(-AE1_)(B-ER0_)(N-AE2_)(TH-IY0_Y)
abernethy	(-AE1_)(B-ER0_)(N-EH2_)(TH-IY0_Y)
aberrant	(-AE0_)(B-EH1_)(R-AH0_N T)
aberration	(-AE2_)(B-ER0_)(-EY1_Y)(SH-AH0_N)
aberrational	(-AE2_)(B-ER0_)(-EY1_Y)(SH-AH0_)(N-AH0_L)
aberrations	(-AE2_)(B-ER0_)(-EY1_Y)(SH-AH0_N Z)
abert	(-AE1_)(B-ER0_T)
abet	(-AH0_)(B-EH1_T)
abetted	(-AH0_)(B-EH1_)(T-IH0_D)
abetting	(-AH0_)(B-EH1_)(T-IH0_NX)
abex	(-EY1_Y)(B-EH0_K S)
abeyance	(-AH0_)(B-EY1_Y)(-AH0_N S)
abeyta	(-AA0_)(B-EY1_Y)(T-AH0_)
abhor	(-AE0_B)(HH-AO1_R)
abhorred	(-AH0_B)(HH-AO1_R D)
abhorrence	(-AH0_B)(HH-AO1_)(R-AH0_N S)
abhorrent	(-AE0_B)(HH-AO1_)(R-AH0_N T)
abhors	(-AH0_B)(HH-AO1_R Z)
abid	(-EY1_Y)(B-IH0_D)
abide	(-AH0_)(B-AA1_Y D)
abided	(-AH0_)(B-AA1_Y)(D-IH0_D)
abides	(-AH0_)(B-AA1_Y D Z)
abiding	(-AH0_)(B-AA1_Y)(D-IH0_NX)
abie	(-AE1_)(B-IY0_Y)
abigail	(-AE1_)(B-AH0_)(G-EY2_Y L)
abila	(-AA0_)(B-IY1_Y)(L-AH0_)
abilene	(-AE1_)(B-IH0_)(L-IY2_Y N)
abilities	(-AH0_)(B-IH1_)(L-AH0_)(T-IY0_Y Z)
ability	(-AH0_)(B-IH1_)(L-AH0_)(T-IY0_Y)
abington	(-AE1_)(B-IH0_NX)(T-AH0_N)
abio	(-AA1_)(B-IY0_Y)(-OW0_W)
abiola	(-AA2_)(B-IY0_Y)(-OW1_W)(L-AH0_)
abiomed	(-EY0_Y)(B-IY1_Y)(-AH0_)(M-EH0_D)
abitibi	(-AE2_)(B-IH0_)(T-IY1_Y)(B-IY0_Y)
abitz	(-AE1_)(B-IH0_T S)
abject	(-AE1_B)(JH-EH0_K T)
abkhazia	(-AE0_BK)(HH-AA1_Z)(Y-AH0_)
abkhazian	(-AE0_BK)(HH-AA1_)(Z-IY0_Y)(-AH0_N)
abkhazians	(-AE0_BK)(HH-AA1_)(Z-IY0_Y)(-AH0_N Z)
ablaze	(-AH0_)(B L-EY1_Y Z)
able	(-EY1_Y)(B-AH0_L)
abled	(-EY1_Y)(B-AH0_L D)
abler	(-EY1_Y)(B-AH0_)(L-ER0_)
ables	(-EY1_Y)(B-AH0_L Z)
ablest	(-EY1_Y)(B-AH0_L S T)
abloom	(-AH0_)(B L-UW1_W M)
ably	(-EY1_Y)(B L-IY0_Y)
abner	(-AE1_B)(N-ER0_)
abney	(-AE1_B)(N-IY0_Y)
abnormal	(-AE0_B)(N-AO1_R)(M-AH0_L)
abnormalities	(-AE2_B)(N-AO0_R)(M-AE1_)(L-AH0_)(T-IY0_Y Z)
abnormality	(-AE2_B)(N-AO0_R)(M-AE1_)(L-AH0_)(T-IY0_Y)
abnormally	(-AE0_B)(N-AO1_R)(M-AH0_)(L-IY0_Y)
abo	(-AA1_)(B-OW0_W)
aboard	(-AH0_)(B-AO1_R D)
abode	(-AH0_)(B-OW1_W D)
abolish	(-AH0_)(B-AA1_)(L-IH0_SH)
abolished	(-AH0_)(B-AA1_)(L-IH0_SH T)
abolishes	(-AH0_)(B-AA1_)(L-IH0_)(SH-IH0_Z)
abolishing	(-AH0_)(B-AA1_)(L-IH0_)(SH-IH0_NX)
abolition	(-AE2_)(B-AH0_)(L-IH1_)(SH-AH0_N)
abolitionism	(-AE2_)(B-AH0_)(L-IH1_)(SH-AH0_)(N-IH2_)(Z-AH0_M)
abolitionist	(-AE2_)(B-AH0_)(L-IH1_)(SH-AH0_)(N-AH0_S T)
abolitionists	(-AE2_)(B-AH0_)(L-IH1_)(SH-AH0_)(N-AH0_S T S)
abominable	(-AH0_)(B-AA1_)(M-AH0_)(N-AH0_)(B-AH0_L)
abomination	(-AH0_)(B-AA2_)(M-AH0_)(N-EY1_Y)(SH-AH0_N)
abood	(-AH0_)(B-UW1_W D)
aboodi	(-AH0_)(B-UW1_W)(D-IY0_Y)
aboriginal	(-AE2_)(B-ER0_)(-IH1_)(JH-AH0_)(N-AH0_L)
aborigine	(-AE2_)(B-ER0_)(-IH1_)(JH-AH0_)(N-IY0_Y)
aborigines	(-AE2_)(B-ER0_)(-IH1_)(JH-AH0_)(N-IY0_Y Z)
aborn	(-AH0_)(B-AO1_R N)
abort	(-AH0_)(B-AO1_R T)
aborted	(-AH0_)(B-AO1_R)(T-IH0_D)
abortifacient	(-AH0_)(B-AO2_R)(T-AH0_)(F-EY1_Y)(SH-AH0_N T)
abortifacients	(-AH0_)(B-AO2_R)(T-AH0_)(F-EY1_Y)(SH-AH0_N T S)
aborting	(-AH0_)(B-AO1_R)(T-IH0_NX)
abortion	(-AH0_)(B-AO1_R)(SH-AH0_N)
abortionist	(-AH0_)(B-AO1_R)(SH-AH0_)(N-IH0_S T)
abortionists	(-AH0_)(B-AO1_R)(SH-AH0_)(N-IH0_S T S)
abortions	(-AH0_)(B-AO1_R)(SH-AH0_N Z)
abortive	(-AH0_)(B-AO1_R)(T-IH0_V)
abott	(-AH0_)(B-AA1_T)
abou	(-AH0_)(B-UW1_W)
aboud	(-AA0_)(B-UW1_W D)
abouhalima	(-AA2_)(B-UW0_W)(HH-AA0_)(L-IY1_Y)(M-AH0_)
abound	(-AH0_)(B-AA1_W N D)
abounded	(-AH0_)(B-AA1_W N)(D-IH0_D)
abounding	(-AH0_)(B-AA1_W N)(D-IH0_NX)
abounds	(-AH0_)(B-AA1_W N D Z)
about	(-AH0_)(B-AA1_W T)
above	(-AH0_)(B-AH1_V)
aboveboard	(-AH0_)(B-AH1_V)(B-AO2_R D)
abplanalp	(-AE1_B)(P L-AH0_)(N-AE0_L P)
abra	(-AA1_)(B R-AH0_)
abracadabra	(-AE2_)(B R-AH0_)(K-AH0_)(D-AE1_)(B R-AH0_)
abraham	(-EY1_Y)(B R-AH0_)(HH-AE2_M)
abrahamian	(-AE2_)(B R-AH0_)(HH-EY1_Y)(M-IY0_Y)(-AH0_N)
abrahams	(-EY1_Y)(B R-AH0_)(HH-AE2_M Z)
abrahamsen	(-AE0_)(B R-AH0_)(HH-AE1_M)(S-AH0_N)
abrahamson	(-AH0_)(B R-AE1_)(HH-AH0_M)(S-AH0_N)
abram	(-AH0_)(B R-AE1_M)
abramczyk	(-AA1_)(B R-AH0_M)(CH-IH0_K)
abramo	(-AA0_)(B R-AA1_)(M-OW0_W)
abramovitz	(-AH0_)(B R-AA1_)(M-AH0_)(V-IH0_T S)
abramowicz	(-AH0_)(B R-AA1_)(M-AH0_)(V-IH0_CH)
abramowitz	(-AH0_)(B R-AA1_)(M-AH0_)(W-IH0_T S)
abrams	(-EY1_Y)(B R-AH0_M Z)
abramson	(-EY1_Y)(B R-AH0_M)(S-AH0_N)
abrasion	(-AH0_)(B R-EY1_Y)(ZH-AH0_N)
abrasions	(-AH0_)(B R-EY1_Y)(ZH-AH0_N Z)
abrasive	(-AH0_)(B R-EY1_Y)(S-IH0_V)
abrasives	(-AH0_)(B R-EY1_Y)(S-IH0_V Z)
abreast	(-AH0_)(B R-EH1_S T)
abrego	(-AA0_)(B R-EH1_)(G-OW0_W)
abreu	(-AH0_)(B R-UW1_W)
abridge	(-AH0_)(B R-IH1_JH)
abridged	(-AH0_)(B R-IH1_JH D)
abril	(-AH0_)(B R-IH1_L)
abroad	(-AH0_)(B R-AO1_D)
abrogate	(-AE1_)(B R-AH0_)(G-EY2_Y T)
abrogated	(-AE1_)(B R-AH0_)(G-EY2_Y)(T-IH0_D)
abrogating	(-AE1_)(B R-AH0_)(G-EY2_Y)(T-IH0_NX)
abrogation	(-AE2_)(B R-AH0_)(G-EY1_Y)(SH-AH0_N)
abron	(-AH0_)(B R-AA1_N)
abrupt	(-AH0_)(B R-AH1_P T)
abruptly	(-AH0_)(B R-AH1_P T)(L-IY0_Y)
abruptness	(-AH0_)(B R-AH1_P T)(N-AH0_S)
abrutyn	(-EY1_Y)(B R-UW0_W)(T-IH0_N)
abruzzese	(-AA0_)(B R-UW0_W T)(S-EY1_Y)(Z-IY0_Y)
abruzzo	(-AA0_)(B R-UW1_W)(Z-OW0_W)
abs	(-EY1_Y)(B-IY1_Y)(-EH1_S)
absalom	(-AE1_B)(S-AH0_)(L-AH0_M)
abscam	(-AE1_B)(S K-AE0_M)
abscess	(-AE1_B)(S-EH2_S)
absence	(-AE1_B)(S-AH0_N S)
absences	(-AE1_B)(S-AH0_N)(S-IH0_Z)
absent	(-AE1_B)(S-AH0_N T)
absentee	(-AE2_B)(S-AH0_N)(T-IY1_Y)
absenteeism	(-AE2_B)(S-AH0_N)(T-IY1_Y)(-IH0_)(Z-AH0_M)
absentees	(-AE2_B)(S-AH0_N)(T-IY1_Y Z)
absentia	(-AE0_B)(S-EH1_N)(SH-AH0_)
absher	(-AE1_B)(SH-ER0_)
abshier	(-AE1_B)(SH-IY0_Y)(-ER0_)
abshire	(-AE1_B)(SH-AA2_Y R)
abso	(-AE1_B)(S-OW0_W)
absolom	(-AE1_B)(S-AH0_)(L-AH0_M)
absolut	(-AE2_B)(S-AH0_)(L-UW1_W T)
absolute	(-AE1_B)(S-AH0_)(L-UW2_W T)
absolutely	(-AE2_B)(S-AH0_)(L-UW1_W T)(L-IY0_Y)
absoluteness	(-AE1_B)(S-AH0_)(L-UW2_W T)(N-AH0_S)
absolutes	(-AE1_B)(S-AH0_)(L-UW2_W T S)
absolution	(-AE2_B)(S-AH0_)(L-UW1_W)(SH-AH0_N)
absolutism	(-AE1_B)(S-AH0_)(L-UW2_W)(T-IH2_)(Z-AH0_M)
absolutist	(-AE0_B)(S-IH0_)(L-UW1_W)(T-IH0_S T)
absolve	(-AH0_B)(Z-AA1_L V)
absolved	(-AH0_B)(Z-AA1_L V D)
absolves	(-AH0_B)(Z-AA1_L V Z)
absolving	(-AH0_B)(Z-AA1_L)(V-IH0_NX)
absorb	(-AH0_B)(Z-AO1_R B)
absorbed	(-AH0_B)(Z-AO1_R B D)
absorbency	(-AH0_B)(Z-AO1_R)(B-AH0_N)(S-IY0_Y)
absorbent	(-AH0_B)(Z-AO1_R)(B-AH0_N T)
absorber	(-AH0_B)(Z-AO1_R)(B-ER0_)
absorbers	(-AH0_B)(Z-AO1_R)(B-ER0_Z)
absorbing	(-AH0_B)(Z-AO1_R)(B-IH0_NX)
absorbs	(-AH0_B)(Z-AO1_R B Z)
absorption	(-AH0_B)(Z-AO1_RP)(SH-AH0_N)
abstain	(-AH0_B)(S T-EY1_Y N)
abstained	(-AH0_B)(S T-EY1_Y N D)
abstaining	(-AH0_B)(S T-EY1_Y)(N-IH0_NX)
abstention	(-AH0_B)(S T-EH1_N)(CH-AH0_N)
abstentions	(-AH0_B)(S T-EH1_N)(CH-AH0_N Z)
abstinence	(-AE1_B)(S T-AH0_)(N-AH0_N S)
abstinent	(-AE1_B)(S T-AH0_)(N-AH0_N T)
abston	(-AE1_B)(S T-AH0_N)
abstract	(-AE0_B)(S T R-AE1_K T)
abstracted	(-AE1_B)(S T R-AE2_K)(T-IH0_D)
abstraction	(-AE0_B)(S T R-AE1_K)(SH-AH0_N)
abstractions	(-AE0_B)(S T R-AE1_K)(SH-AH0_N Z)
abstracts	(-AE1_B)(S T R-AE0_K T S)
abstruse	(-AH0_B)(S T R-UW1_W S)
absurd	(-AH0_B)(S-ER1_D)
absurdist	(-AH0_B)(S-ER1_)(D-IH0_S T)
absurdities	(-AH0_B)(S-ER1_)(D-AH0_)(T-IY0_Y Z)
absurdity	(-AH0_B)(S-ER1_)(D-AH0_)(T-IY0_Y)
absurdly	(-AH0_B)(S-ER1_D)(L-IY0_Y)
abt	(-AE1_B T)
abts	(-AE1_B T S)
abu	(-AE1_)(B-UW0_W)
abudrahm	(-AH0_)(B-AH1_)(D R-AH0_M)
abuladze	(-AE2_)(B Y-UW0_W)(L-AE1_D)(Z-IY0_Y)
abundance	(-AH0_)(B-AH1_N)(D-AH0_N S)
abundant	(-AH0_)(B-AH1_N)(D-AH0_N T)
abundantly	(-AH0_)(B-AH1_N)(D-AH0_N T)(L-IY0_Y)
aburto	(-AH0_)(B-UH1_R)(T-OW2_W)
abuse	(-AH0_)(B Y-UW1_W S)
abused	(-AH0_)(B Y-UW1_W Z D)
abuser	(-AH0_)(B Y-UW1_W)(Z-ER0_)
abusers	(-AH0_)(B Y-UW1_W)(Z-ER0_Z)
abuses	(-AH0_)(B Y-UW1_W)(S-IH0_Z)
abusing	(-AH0_)(B Y-UW1_W)(Z-IH0_NX)
abusive	(-AH0_)(B Y-UW1_W)(S-IH0_V)
abut	(-AH0_)(B-AH1_T)
abuts	(-AH0_)(B-AH1_T S)
abutted	(-AH0_)(B-AH1_)(T-AH0_D)
abutting	(-AH0_)(B-AH1_)(T-IH0_NX)
abuzz	(-AH0_)(B-AH1_Z)
abysmal	(-AH0_)(B-IH1_Z)(M-AH0_L)
abysmally	(-AH0_)(B-IH1_Z)(M-AH0_)(L-IY0_Y)
abyss	(-AH0_)(B-IH1_S)
abzug	(-AE1_B)(Z-AH2_G)
ac	(-EY1_Y)(S-IY1_Y)
aca	(-AE1_)(K-AH0_)
acacia	(-AH0_)(K-EY1_Y)(SH-AH0_)
academe	(-AE1_)(K-AH0_)(D-IY2_Y M)
academia	(-AE2_)(K-AH0_)(D-IY1_Y)(M-IY0_Y)(-AH0_)
academic	(-AE2_)(K-AH0_)(D-EH1_)(M-IH0_K)
academically	(-AE2_)(K-AH0_)(D-EH1_)(M-IH0_)(K L-IY0_Y)
academician	(-AE2_)(K-AH0_)(D-AH0_)(M-IH1_)(SH-AH0_N)
academicians	(-AE2_)(K-AH0_)(D-AH0_)(M-IH1_)(SH-AH0_N Z)
academics	(-AE2_)(K-AH0_)(D-EH1_)(M-IH0_K S)
academies	(-AH0_)(K-AE1_)(D-AH0_)(M-IY0_Y Z)
academy	(-AH0_)(K-AE1_)(D-AH0_)(M-IY0_Y)
acadia	(-AH0_)(K-EY1_Y)(D-IY0_Y)(-AH0_)
acampora	(-AH0_)(K-AE1_M)(P-ER0_)(-AH0_)
acantha	(-AA0_)(K-AA1_N)(DH-AH0_)
acapulco	(-AE2_)(K-AH0_)(P-UH1_L)(K-OW0_W)
accardi	(-AA0_)(K-AA1_R)(D-IY0_Y)
accardo	(-AA0_)(K-AA1_R)(D-OW0_W)
accede	(-AE0_K)(S-IY1_Y D)
acceded	(-AE0_K)(S-IY1_Y)(D-IH0_D)
accedes	(-AE0_K)(S-IY1_Y D Z)
acceding	(-AE0_K)(S-IY1_Y)(D-IH0_NX)
accel	(-AH0_K)(S-EH1_L)
accelerant	(-AE0_K)(S-EH1_)(L-ER0_)(-AH0_N T)
accelerants	(-AE0_K)(S-EH1_)(L-ER0_)(-AH0_N T S)
accelerate	(-AE0_K)(S-EH1_)(L-ER0_)(-EY2_Y T)
accelerated	(-AE0_K)(S-EH1_)(L-ER0_)(-EY2_Y)(T-IH0_D)
accelerates	(-AE0_K)(S-EH1_)(L-ER0_)(-EY2_Y T S)
accelerating	(-AE0_K)(S-EH1_)(L-ER0_)(-EY2_Y)(T-IH0_NX)
acceleration	(-AE2_K)(S-EH2_)(L-ER0_)(-EY1_Y)(SH-AH0_N)
accelerator	(-AE0_K)(S-EH1_)(L-ER0_)(-EY2_Y)(T-ER0_)
accelerometer	(-AE0_K)(S-EH2_)(L-ER0_)(-AA1_)(M-AH0_)(T-ER0_)
accelerometers	(-AE0_K)(S-EH2_)(L-ER0_)(-AA1_)(M-AH0_)(T-ER0_Z)
accent	(-AH0_K)(S-EH1_N T)
accented	(-AE1_K)(S-EH0_N)(T-IH0_D)
accenting	(-AE1_K)(S-EH0_N)(T-IH0_NX)
accents	(-AE1_K)(S-EH0_N T S)
accentuate	(-AE0_K)(S-EH1_N)(CH-UW0_W)(-EY0_Y T)
accentuated	(-AE0_K)(S-EH1_N)(CH-AH0_)(W-EY2_Y)(T-IH0_D)
accentuates	(-AE0_K)(S-EH1_N)(CH-UW0_W)(-EY0_Y T S)
accentuating	(-AE0_K)(S-EH1_N)(CH-AH0_)(W-EY2_Y)(T-IH0_NX)
accept	(-AE0_K)(S-EH1_P T)
acceptability	(-AH0_K)(S-EH2_P)(T-AH0_)(B-IH1_)(L-AH0_)(T-IY0_Y)
acceptable	(-AE0_K)(S-EH1_P)(T-AH0_)(B-AH0_L)
acceptance	(-AE0_K)(S-EH1_P)(T-AH0_N S)
acceptances	(-AE0_K)(S-EH1_P)(T-AH0_N)(S-IH0_Z)
accepted	(-AE0_K)(S-EH1_P)(T-IH0_D)
accepting	(-AE0_K)(S-EH1_P)(T-IH0_NX)
accepts	(-AE0_K)(S-EH1_P T S)
access	(-AE1_K)(S-EH2_S)
accessed	(-AE1_K)(S-EH2_S T)
accessibility	(-AE2_K)(S-EH0_)(S-AH0_)(B-IH1_)(L-IH0_)(T-IY0_Y)
accessible	(-AE0_K)(S-EH1_)(S-AH0_)(B-AH0_L)
accessing	(-AE1_K)(S-EH2_)(S-IH0_NX)
accession	(-AH0_K)(S-EH1_)(SH-AH0_N)
accessories	(-AE0_K)(S-EH1_)(S-ER0_)(-IY0_Y Z)
accessorize	(-AE0_K)(S-EH1_)(S-ER0_)(-AA2_Y Z)
accessorized	(-AE0_K)(S-EH1_)(S-ER0_)(-AA2_Y Z D)
accessory	(-AE0_K)(S-EH1_)(S-ER0_)(-IY0_Y)
accetta	(-AA0_)(CH-EH1_)(T-AH0_)
accident	(-AE1_K)(S-AH0_)(D-AH0_N T)
accidental	(-AE2_K)(S-AH0_)(D-EH1_N)(T-AH0_L)
accidentally	(-AE2_K)(S-AH0_)(D-EH1_N)(T-AH0_)(L-IY0_Y)
accidently	(-AE1_K)(S-AH0_)(D-AH0_N T)(L-IY0_Y)
accidents	(-AE1_K)(S-AH0_)(D-AH0_N T S)
accion	(-AE1_)(CH-IY0_Y)(-AH0_N)
accival	(-AE1_)(S-IH0_)(V-AA2_L)
acclaim	(-AH0_)(K L-EY1_Y M)
acclaimed	(-AH0_)(K L-EY1_Y M D)
acclaiming	(-AH0_)(K L-EY1_Y)(M-IH0_NX)
acclimate	(-AE1_)(K L-AH0_)(M-EY2_Y T)
acclimated	(-AE1_)(K L-AH0_)(M-EY2_Y)(T-IH0_D)
acclimation	(-AE2_)(K L-AH0_)(M-EY1_Y)(SH-AH0_N)
acco	(-AE1_)(K-OW0_W)
accola	(-AA0_)(K-OW1_W)(L-AH0_)
accolade	(-AE1_)(K-AH0_)(L-EY2_Y D)
accolades	(-AE1_)(K-AH0_)(L-EY2_Y D Z)
accomando	(-AA0_)(K-OW0_W)(M-AA1_N)(D-OW0_W)
accommodate	(-AH0_)(K-AA1_)(M-AH0_)(D-EY2_Y T)
accommodated	(-AH0_)(K-AA1_)(M-AH0_)(D-EY2_Y)(T-AH0_D)
accommodates	(-AH0_)(K-AA1_)(M-AH0_)(D-EY2_Y T S)
accommodating	(-AH0_)(K-AA1_)(M-AH0_)(D-EY2_Y)(T-IH0_NX)
accommodation	(-AH0_)(K-AA2_)(M-AH0_)(D-EY1_Y)(SH-AH0_N)
accommodations	(-AH0_)(K-AA2_)(M-AH0_)(D-EY1_Y)(SH-AH0_N Z)
accommodative	(-AH0_)(K-AA1_)(M-AH0_)(D-EY2_Y)(T-IH0_V)
accompanied	(-AH0_)(K-AH1_M)(P-AH0_)(N-IY0_Y D)
accompanies	(-AH0_)(K-AH1_M)(P-AH0_)(N-IY0_Y Z)
accompaniment	(-AH0_)(K-AH1_M P)(N-IH0_)(M-AH0_N T)
accompaniments	(-AH0_)(K-AH1_M P)(N-IH0_)(M-AH0_N T S)
accompanist	(-AH0_)(K-AH1_M)(P-AH0_)(N-AH0_S T)
accompany	(-AH0_)(K-AH1_M)(P-AH0_)(N-IY0_Y)
accompanying	(-AH0_)(K-AH1_M)(P-AH0_)(N-IY0_Y)(-IH0_NX)
accompli	(-AA2_)(K-AA1_M)(P L-IY0_Y)
accomplice	(-AH0_)(K-AA1_M)(P L-AH0_S)
accomplices	(-AH0_)(K-AA1_M)(P L-AH0_)(S-AH0_Z)
accomplish	(-AH0_)(K-AA1_M)(P L-IH0_SH)
