a	(-A0_)
abastecer	(-A0_)(B-A0_S)(T-E0_)(S-E0_R )
abastecerlo	(-A0_)(B-A0_S)(T-E0_)(S-E0_R)(L-O0_)
abastecerme	(-A0_)(B-A0_S)(T-E0_)(S-E0_R)(M-E0_)
abastecernos	(-A0_)(B-A0_S)(T-E0_)(S-E0_R)(N-O0_S )
abastecerte	(-A0_)(B-A0_S)(T-E0_)(S-E0_R)(T-E0_)
abasteció	(-A0_)(B-A0_S)(T-E0_)(S-I0_)(-O1_)
abastecí	(-A0_)(B-A0_S)(T-E0_)(S-I1_)
abastecía	(-A0_)(B-A0_S)(T-E0_)(S-I1_)(-A0_)
abastezca	(-A0_)(B-A0_S)(T-E0_Z)(K-A0_)
abastezco	(-A0_)(B-A0_S)(T-E0_Z)(K-O0_)
abastimiento	(-A0_)(B-A0_S)(T-I0_)(M-I0_)(-E0_N)(T-O0_)
abatible	(-A0_)(B-A0_)(T-I0_B)(L-E0_)
abatir	(-A0_)(B-A0_)(T-I0_R )
abdicar	(-A0_B)(D-I0_)(K-A0_R )
abdicativamente	(-A0_B)(D-I0_)(K-A0_)(T-I0_)(V-A0_)(M-E0_N)(T-E0_)
abdicativo	(-A0_B)(D-I0_)(K-A0_)(T-I0_)(V-O0_)
abdico	(-A0_B)(D-I0_)(K-O0_)
abdomen	(-A0_B)(D-O0_)(M-E0_N )
abdominal	(-A0_B)(D-O0_)(M-I0_)(N-A0_L )
abducción	(-A0_B)(D-U0_K)(S-I0_)(-O1_N )
abductor	(-A0_B)(D-U0_K)(T-O0_R )
abecedario	(-A0_)(B-E0_)(S-E0_)(D-A0_)(R-I0_)(-O0_)
abecé	(-A0_)(B-E0_)(S-E1_)
abedul	(-A0_)(B-E0_)(D-U0_L )
abeja	(-A0_)(B-E0_X)(-A0_)
abejar	(-A0_)(B-E0_X)(-A0_R )
abejaruco	(-A0_)(B-E0_X)(-A0_)(R-U0_)(K-O0_)
abejero	(-A0_)(B-E0_X)(-E0_)(R-O0_)
abejorrear	(-A0_)(B-E0_X)(-O0_RR)(-E0_)(-A0_R )
abejorree	(-A0_)(B-E0_X)(-O0_RR)(-E0_)(-E0_)
abejorro	(-A0_)(B-E0_X)(-O0_RR)(-O0_)
abejón	(-A0_)(B-E0_X)(-O1_N )
abellacar	(-A0_)(B-E0_LL)(-A0_)(K-A0_R )
abelmosco	(-A0_)(B-E0_L)(M-O0_S)(K-O0_)
abemolar	(-A0_)(B-E0_)(M-O0_)(L-A0_R )
abemole	(-A0_)(B-E0_)(M-O0_)(L-E0_)
abencerraje	(-A0_)(B-E0_N)(S-E0_RR)(-A0_X)(-E0_)
abenuz	(-A0_)(B-E0_)(N-U0_Z )
aberrante	(-A0_)(B-E0_RR)(-A0_N)(T-E0_)
aberrar	(-A0_)(B-E0_RR)(-A0_R )
abertal	(-A0_)(B-E0_R)(T-A0_L )
abertura	(-A0_)(B-E0_R)(T-U0_)(R-A0_)
abestiado	(-A0_)(B-E0_S)(T-I0_)(-A0_)(D-O0_)
abetal	(-A0_)(B-E0_)(T-A0_L )
abete	(-A0_)(B-E0_)(T-E0_)
abeto	(-A0_)(B-E0_)(T-O0_)
abetunar	(-A0_)(B-E0_)(T-U0_)(N-A0_R )
abiar	(-A0_)(B-I0_)(-A0_R )
abierta	(-A0_)(B-I0_)(-E0_R)(T-A0_)
abiertamente	(-A0_)(B-I0_)(-E0_R)(T-A0_)(M-E0_N)(T-E0_)
abierto	(-A0_)(B-I0_)(-E0_R)(T-O0_)
abietáceo	(-A0_)(B-I0_)(-E0_)(T-A1_)(S-E0_)(-O0_)
abigarrar	(-A0_)(B-I0_)(G-A0_RR)(-A0_R )
abigarre	(-A0_)(B-I0_)(G-A0_RR)(-E0_)
abigeato	(-A0_)(B-I0_X)(-E0_)(-A0_)(T-O0_)
abigeo	(-A0_)(B-I0_X)(-E0_)(-O0_)
abintestato	(-A0_)(B-I0_N)(T-E0_S)(T-A0_)(T-O0_)
abisagrar	(-A0_)(B-I0_)(S-A0_G)(R-A0_R )
abisagre	(-A0_)(B-I0_)(S-A0_G)(R-E0_)
abisal	(-A0_)(B-I0_)(S-A0_L )
abisinio	(-A0_)(B-I0_)(S-I0_)(N-I0_)(-O0_)
abismal	(-A0_)(B-I0_S)(M-A0_L )
abismar	(-A0_)(B-I0_S)(M-A0_R )
abisme	(-A0_)(B-I0_S)(M-E0_)
abismo	(-A0_)(B-I0_S)(M-O0_)
abiótico	(-A0_)(B-I0_)(-O1_)(T-I0_)(K-O0_)
abjurar	(-A0_B X)(-U0_)(R-A0_R )
abjure	(-A0_B X)(-U0_)(R-E0_)
ablación	(-A0_B)(L-A0_)(S-I0_)(-O1_N )
ablandabrevas	(-A0_B)(L-A0_N)(D-A0_B)(R-E0_)(V-A0_S )
ablandador	(-A0_B)(L-A0_N)(D-A0_)(D-O0_R )
ablandar	(-A0_B)(L-A0_N)(D-A0_R )
ablandativo	(-A0_B)(L-A0_N)(D-A0_)(T-I0_)(V-O0_)
ablandecer	(-A0_B)(L-A0_N)(D-E0_)(S-E0_R )
ablativo	(-A0_B)(L-A0_)(T-I0_)(V-O0_)
ablentar	(-A0_B)(L-E0_N)(T-A0_R )
ablución	(-A0_B)(L-U0_)(S-I0_)(-O1_N )
abnegar	(-A0_B)(N-E0_)(G-A0_R )
abobar	(-A0_)(B-O0_)(B-A0_R )
abobe	(-A0_)(B-O0_)(B-E0_)
abocadear	(-A0_)(B-O0_)(K-A0_)(D-E0_)(-A0_R )
abocar	(-A0_)(B-O0_)(K-A0_R )
abocardar	(-A0_)(B-O0_)(K-A0_R)(D-A0_R )
abocarde	(-A0_)(B-O0_)(K-A0_R)(D-E0_)
abocetar	(-A0_)(B-O0_)(S-E0_)(T-A0_R )
abocete	(-A0_)(B-O0_)(S-E0_)(T-E0_)
abochornar	(-A0_)(B-O0_)(CH-O0_R)(N-A0_R )
abochorne	(-A0_)(B-O0_)(CH-O0_R)(N-E0_)
abocinar	(-A0_)(B-O0_)(S-I0_)(N-A0_R )
abofeteador	(-A0_)(B-O0_)(F-E0_)(T-E0_)(-A0_)(D-O0_R )
abofetear	(-A0_)(B-O0_)(F-E0_)(T-E0_)(-A0_R )
abofetee	(-A0_)(B-O0_)(F-E0_)(T-E0_)(-E0_)
abogacía	(-A0_)(B-O0_)(G-A0_)(S-I1_)(-A0_)
abogada	(-A0_)(B-O0_)(G-A0_)(D-A0_)
abogadismo	(-A0_)(B-O0_)(G-A0_)(D-I0_S)(M-O0_)
abogador	(-A0_)(B-O0_)(G-A0_)(D-O0_R )
abogar	(-A0_)(B-O0_)(G-A0_R )
abolengo	(-A0_)(B-O0_)(L-E0_NG)(G-O0_)
abolicionismo	(-A0_)(B-O0_)(L-I0_)(S-I0_)(-O0_)(N-I0_S)(M-O0_)
abolicionista	(-A0_)(B-O0_)(L-I0_)(S-I0_)(-O0_)(N-I0_S)(T-A0_)
aboliendo	(-A0_)(B-O0_)(L-I0_)(-E0_N)(D-O0_)
abolieran	(-A0_)(B-O0_)(L-I0_)(-E0_)(R-A0_N )
aboliere	(-A0_)(B-O0_)(L-I0_)(-E0_)(R-E0_)
abolieren	(-A0_)(B-O0_)(L-I0_)(-E0_)(R-E0_N )
abolieron	(-A0_)(B-O0_)(L-I0_)(-E0_)(R-O0_N )
aboliese	(-A0_)(B-O0_)(L-I0_)(-E0_)(S-E0_)
aboliesen	(-A0_)(B-O0_)(L-I0_)(-E0_)(S-E0_N )
abolimos	(-A0_)(B-O0_)(L-I0_)(M-O0_S )
abolir	(-A0_)(B-O0_)(L-I0_R )
aboliremos	(-A0_)(B-O0_)(L-I0_)(R-E0_)(M-O0_S )
abolirse	(-A0_)(B-O0_)(L-I0_R)(S-E0_)
abolirá	(-A0_)(B-O0_)(L-I0_)(R-A1_)
abolirán	(-A0_)(B-O0_)(L-I0_)(R-A1_N )
abolirás	(-A0_)(B-O0_)(L-I0_)(R-A1_S )
aboliré	(-A0_)(B-O0_)(L-I0_)(R-E1_)
aboliría	(-A0_)(B-O0_)(L-I0_)(R-I1_)(-A0_)
aboliríamos	(-A0_)(B-O0_)(L-I0_)(R-I1_)(-A0_)(M-O0_S )
abolirían	(-A0_)(B-O0_)(L-I0_)(R-I1_)(-A0_N )
aboliste	(-A0_)(B-O0_)(L-I0_S)(T-E0_)
aboliéramos	(-A0_)(B-O0_)(L-I0_)(-E1_)(R-A0_)(M-O0_S )
aboliéremos	(-A0_)(B-O0_)(L-I0_)(-E1_)(R-E0_)(M-O0_S )
aboliésemos	(-A0_)(B-O0_)(L-I0_)(-E1_)(S-E0_)(M-O0_S )
abolió	(-A0_)(B-O0_)(L-I0_)(-O1_)
abolla	(-A0_)(B-O0_LL)(-A0_)
abollan	(-A0_)(B-O0_LL)(-A0_N )
abollar	(-A0_)(B-O0_LL)(-A0_R )
abolle	(-A0_)(B-O0_LL)(-E0_)
abollen	(-A0_)(B-O0_LL)(-E0_N )
abollo	(-A0_)(B-O0_LL)(-O0_)
abollonar	(-A0_)(B-O0_LL)(-O0_)(N-A0_R )
abollone	(-A0_)(B-O0_LL)(-O0_)(N-E0_)
abollé	(-A0_)(B-O0_LL)(-E1_)
abolló	(-A0_)(B-O0_LL)(-O1_)
abolorio	(-A0_)(B-O0_)(L-O0_)(R-I0_)(-O0_)
abolsar	(-A0_)(B-O0_L)(S-A0_R )
abolse	(-A0_)(B-O0_L)(S-E0_)
abolí	(-A0_)(B-O0_)(L-I1_)
abolía	(-A0_)(B-O0_)(L-I1_)(-A0_)
abolíamos	(-A0_)(B-O0_)(L-I1_)(-A0_)(M-O0_S )
abolían	(-A0_)(B-O0_)(L-I1_)(-A0_N )
abolís	(-A0_)(B-O0_)(L-I1_S )
abombar	(-A0_)(B-O0_M)(B-A0_R )
abombe	(-A0_)(B-O0_M)(B-E0_)
abominable	(-A0_)(B-O0_)(M-I0_)(N-A0_B)(L-E0_)
abominar	(-A0_)(B-O0_)(M-I0_)(N-A0_R )
abomine	(-A0_)(B-O0_)(M-I0_)(N-E0_)
abona	(-A0_)(B-O0_)(N-A0_)
abonable	(-A0_)(B-O0_)(N-A0_B)(L-E0_)
abonador	(-A0_)(B-O0_)(N-A0_)(D-O0_R )
abonan	(-A0_)(B-O0_)(N-A0_N )
abonance	(-A0_)(B-O0_)(N-A0_N)(S-E0_)
abonanzar	(-A0_)(B-O0_)(N-A0_N)(Z-A0_R )
abonar	(-A0_)(B-O0_)(N-A0_R )
abonarle	(-A0_)(B-O0_)(N-A0_R)(L-E0_)
abonarlo	(-A0_)(B-O0_)(N-A0_R)(L-O0_)
abonarme	(-A0_)(B-O0_)(N-A0_R)(M-E0_)
abonarnos	(-A0_)(B-O0_)(N-A0_R)(N-O0_S )
abonarte	(-A0_)(B-O0_)(N-A0_R)(T-E0_)
abondar	(-A0_)(B-O0_N)(D-A0_R )
abone	(-A0_)(B-O0_)(N-E0_)
abonen	(-A0_)(B-O0_)(N-E0_N )
abono	(-A0_)(B-O0_)(N-O0_)
abonármelo	(-A0_)(B-O0_)(N-A1_R)(M-E0_)(L-O0_)
abonárnoslo	(-A0_)(B-O0_)(N-A1_R)(N-O0_S)(L-O0_)
abonárselo	(-A0_)(B-O0_)(N-A1_R)(S-E0_)(L-O0_)
abonártelo	(-A0_)(B-O0_)(N-A1_R)(T-E0_)(L-O0_)
aboné	(-A0_)(B-O0_)(N-E1_)
abonó	(-A0_)(B-O0_)(N-O1_)
aboquillar	(-A0_)(B-O0_)(-K0_)(-I0_LL)(-A0_R )
aboquille	(-A0_)(B-O0_)(-K0_)(-I0_LL)(-E0_)
aborda	(-A0_)(B-O0_R)(D-A0_)
abordable	(-A0_)(B-O0_R)(D-A0_B)(L-E0_)
abordan	(-A0_)(B-O0_R)(D-A0_N )
abordar	(-A0_)(B-O0_R)(D-A0_R )
aborde	(-A0_)(B-O0_R)(D-E0_)
aborden	(-A0_)(B-O0_R)(D-E0_N )
abordo	(-A0_)(B-O0_R)(D-O0_)
abordonar	(-A0_)(B-O0_R)(D-O0_)(N-A0_R )
abordone	(-A0_)(B-O0_R)(D-O0_)(N-E0_)
abordándolo	(-A0_)(B-O0_R)(D-A1_N)(D-O0_)(L-O0_)
abordé	(-A0_)(B-O0_R)(D-E1_)
abordó	(-A0_)(B-O0_R)(D-O1_)
aborigen	(-A0_)(B-O0_)(R-I0_X)(-E0_N )
aborrajar	(-A0_)(B-O0_RR)(-A0_X)(-A0_R )
aborraje	(-A0_)(B-O0_RR)(-A0_X)(-E0_)
aborrascar	(-A0_)(B-O0_RR)(-A0_S)(K-A0_R )
aborrece	(-A0_)(B-O0_RR)(-E0_)(S-E0_)
aborrecedor	(-A0_)(B-O0_RR)(-E0_)(S-E0_)(D-O0_R )
aborrecer	(-A0_)(B-O0_RR)(-E0_)(S-E0_R )
aborrecible	(-A0_)(B-O0_RR)(-E0_)(S-I0_B)(L-E0_)
aborregar	(-A0_)(B-O0_RR)(-E0_)(G-A0_R )
aborrir	(-A0_)(B-O0_RR)(-I0_R )
abortar	(-A0_)(B-O0_R)(T-A0_R )
aborte	(-A0_)(B-O0_R)(T-E0_)
abortista	(-A0_)(B-O0_R)(T-I0_S)(T-A0_)
abortivo	(-A0_)(B-O0_R)(T-I0_)(V-O0_)
aborto	(-A0_)(B-O0_R)(T-O0_)
abortón	(-A0_)(B-O0_R)(T-O1_N )
aborujar	(-A0_)(B-O0_)(R-U0_X)(-A0_R )
aboruje	(-A0_)(B-O0_)(R-U0_X)(-E0_)
abotagar	(-A0_)(B-O0_)(T-A0_)(G-A0_R )
abotago	(-A0_)(B-O0_)(T-A0_)(G-O0_)
abotargar	(-A0_)(B-O0_)(T-A0_R)(G-A0_R )
abotinado	(-A0_)(B-O0_)(T-I0_)(N-A0_)(D-O0_)
abotona	(-A0_)(B-O0_)(T-O0_)(N-A0_)
abotonaba	(-A0_)(B-O0_)(T-O0_)(N-A0_)(B-A0_)
abotonaban	(-A0_)(B-O0_)(T-O0_)(N-A0_)(B-A0_N )
abotonada	(-A0_)(B-O0_)(T-O0_)(N-A0_)(D-A0_)
abotonado	(-A0_)(B-O0_)(T-O0_)(N-A0_)(D-O0_)
abotonador	(-A0_)(B-O0_)(T-O0_)(N-A0_)(D-O0_R )
abotonamos	(-A0_)(B-O0_)(T-O0_)(N-A0_)(M-O0_S )
abotonan	(-A0_)(B-O0_)(T-O0_)(N-A0_N )
abotonando	(-A0_)(B-O0_)(T-O0_)(N-A0_N)(D-O0_)
abotonar	(-A0_)(B-O0_)(T-O0_)(N-A0_R )
abotonara	(-A0_)(B-O0_)(T-O0_)(N-A0_)(R-A0_)
abotonaran	(-A0_)(B-O0_)(T-O0_)(N-A0_)(R-A0_N )
abotonare	(-A0_)(B-O0_)(T-O0_)(N-A0_)(R-E0_)
abotonaren	(-A0_)(B-O0_)(T-O0_)(N-A0_)(R-E0_N )
abotonaron	(-A0_)(B-O0_)(T-O0_)(N-A0_)(R-O0_N )
abotonarse	(-A0_)(B-O0_)(T-O0_)(N-A0_R)(S-E0_)
abotonará	(-A0_)(B-O0_)(T-O0_)(N-A0_)(R-A1_)
abotonarán	(-A0_)(B-O0_)(T-O0_)(N-A0_)(R-A1_N )
abotonarás	(-A0_)(B-O0_)(T-O0_)(N-A0_)(R-A1_S )
abotonaré	(-A0_)(B-O0_)(T-O0_)(N-A0_)(R-E1_)
abotonaría	(-A0_)(B-O0_)(T-O0_)(N-A0_)(R-I1_)(-A0_)
abotonarían	(-A0_)(B-O0_)(T-O0_)(N-A0_)(R-I1_)(-A0_N )
abotonas	(-A0_)(B-O0_)(T-O0_)(N-A0_S )
abotonase	(-A0_)(B-O0_)(T-O0_)(N-A0_)(S-E0_)
abotonasen	(-A0_)(B-O0_)(T-O0_)(N-A0_)(S-E0_N )
abotonaste	(-A0_)(B-O0_)(T-O0_)(N-A0_S)(T-E0_)
abotone	(-A0_)(B-O0_)(T-O0_)(N-E0_)
abotonemos	(-A0_)(B-O0_)(T-O0_)(N-E0_)(M-O0_S )
abotonen	(-A0_)(B-O0_)(T-O0_)(N-E0_N )
abotono	(-A0_)(B-O0_)(T-O0_)(N-O0_)
abotoné	(-A0_)(B-O0_)(T-O0_)(N-E1_)
abotonó	(-A0_)(B-O0_)(T-O0_)(N-O1_)
abovedar	(-A0_)(B-O0_)(V-E0_)(D-A0_R )
abovede	(-A0_)(B-O0_)(V-E0_)(D-E0_)
abozalar	(-A0_)(B-O0_)(Z-A0_)(L-A0_R )
abozale	(-A0_)(B-O0_)(Z-A0_)(L-E0_)
abra	(-A0_B)(R-A0_)
abracadabra	(-A0_B)(R-A0_)(K-A0_)(D-A0_B)(R-A0_)
abracar	(-A0_B)(R-A0_)(K-A0_R )
abrace	(-A0_B)(R-A0_)(S-E0_)
abracijarse	(-A0_B)(R-A0_)(S-I0_X)(-A0_R)(S-E0_)
abracijo	(-A0_B)(R-A0_)(S-I0_X)(-O0_)
abramos	(-A0_B)(R-A0_)(M-O0_S )
abran	(-A0_B)(R-A0_N )
abras	(-A0_B)(R-A0_S )
abrasador	(-A0_B)(R-A0_)(S-A0_)(D-O0_R )
abrasar	(-A0_B)(R-A0_)(S-A0_R )
abrasivo	(-A0_B)(R-A0_)(S-I0_)(V-O0_)
abravar	(-A0_B)(R-A0_)(V-A0_R )
abravece	(-A0_B)(R-A0_)(V-E0_)(S-E0_)
abravecer	(-A0_B)(R-A0_)(V-E0_)(S-E0_R )
abraxas	(-A0_B)(R-A0_X)(-A0_S )
abrazadera	(-A0_B)(R-A0_)(Z-A0_)(D-E0_)(R-A0_)
abrazador	(-A0_B)(R-A0_)(Z-A0_)(D-O0_R )
abrazar	(-A0_B)(R-A0_)(Z-A0_R )
abre	(-A0_B)(R-E0_)
abrebotellas	(-A0_B)(R-E0_)(B-O0_)(T-E0_LL)(-A0_S )
abrecartas	(-A0_B)(R-E0_)(K-A0_R)(T-A0_S )
abrelatas	(-A0_B)(R-E0_)(L-A0_)(T-A0_S )
abren	(-A0_B)(R-E0_N )
abrenunciar	(-A0_B)(R-E0_)(N-U0_N)(S-I0_)(-A0_R )
abretonar	(-A0_B)(R-E0_)(T-O0_)(N-A0_R )
abrevadero	(-A0_B)(R-E0_)(V-A0_)(D-E0_)(R-O0_)
abrevador	(-A0_B)(R-E0_)(V-A0_)(D-O0_R )
abrevar	(-A0_B)(R-E0_)(V-A0_R )
abreviadamente	(-A0_B)(R-E0_)(V-I0_)(-A0_)(D-A0_)(M-E0_N)(T-E0_)
abreviador	(-A0_B)(R-E0_)(V-I0_)(-A0_)(D-O0_R )
abreviaduría	(-A0_B)(R-E0_)(V-I0_)(-A0_)(D-U0_)(R-I1_)(-A0_)
abreviar	(-A0_B)(R-E0_)(V-I0_)(-A0_R )
abreviatura	(-A0_B)(R-E0_)(V-I0_)(-A0_)(T-U0_)(R-A0_)
abrevie	(-A0_B)(R-E0_)(V-I0_)(-E0_)
abribonar	(-A0_B)(R-I0_)(B-O0_)(N-A0_R )
abridero	(-A0_B)(R-I0_)(D-E0_)(R-O0_)
abridor	(-A0_B)(R-I0_)(D-O0_R )
abriendo	(-A0_B)(R-I0_)(-E0_N)(D-O0_)
abriera	(-A0_B)(R-I0_)(-E0_)(R-A0_)
abrieran	(-A0_B)(R-I0_)(-E0_)(R-A0_N )
abriere	(-A0_B)(R-I0_)(-E0_)(R-E0_)
abrieren	(-A0_B)(R-I0_)(-E0_)(R-E0_N )
abrieron	(-A0_B)(R-I0_)(-E0_)(R-O0_N )
abriese	(-A0_B)(R-I0_)(-E0_)(S-E0_)
abriesen	(-A0_B)(R-I0_)(-E0_)(S-E0_N )
abriga	(-A0_B)(R-I0_)(G-A0_)
abrigaba	(-A0_B)(R-I0_)(G-A0_)(B-A0_)
abrigaban	(-A0_B)(R-I0_)(G-A0_)(B-A0_N )
abrigada	(-A0_B)(R-I0_)(G-A0_)(D-A0_)
abrigado	(-A0_B)(R-I0_)(G-A0_)(D-O0_)
abrigador	(-A0_B)(R-I0_)(G-A0_)(D-O0_R )
abrigamos	(-A0_B)(R-I0_)(G-A0_)(M-O0_S )
abrigan	(-A0_B)(R-I0_)(G-A0_N )
abrigando	(-A0_B)(R-I0_)(G-A0_N)(D-O0_)
abrigar	(-A0_B)(R-I0_)(G-A0_R )
abrigara	(-A0_B)(R-I0_)(G-A0_)(R-A0_)
abrigaran	(-A0_B)(R-I0_)(G-A0_)(R-A0_N )
abrigare	(-A0_B)(R-I0_)(G-A0_)(R-E0_)
